time,high,low,open,volumefrom,volumeto,close
1745096400,85352.44,85176.61,85185.92,152.45,13001876.78,85327.21
1745092800,85250.3,85007.17,85074.01,115.48,9835161.63,85185.92
1745089200,85188.82,85031.48,85129.14,142.22,12103204.45,85074.01
1745085600,85304.87,85123.13,85219.73,203.03,17302360.78,85129.14
1745082000,85225.52,84819.43,84835.83,291.89,24818220.06,85219.73
1745078400,85304.21,84696.82,85175.33,562.9,47862405.56,84835.83
1745074800,85614.27,85065.78,85390.9,578.59,49407498.77,85175.33
1745071200,85476.99,85347.84,85459.54,271.72,23210961.78,85390.9
1745067600,85474.08,85195.06,85275.41,245.3,20935022.64,85459.54
1745064000,85307.05,85196.11,85203.31,131.96,11250070.54,85275.41
1745060400,85271.11,85120.71,85243.98,133.96,11410515.12,85203.31
1745056800,85336.89,85150.07,85323.39,163.66,13947689.25,85243.98
1745053200,85420.87,85216.44,85298.45,163.62,13964502.47,85323.39
1745049600,85367.51,85105.26,85203.33,166.06,14158872.25,85298.45
1745046000,85230.53,84907.6,84910.76,153.52,13069784.68,85203.33
1745042400,85092.52,84884.4,85073.66,104.89,8912782.69,84910.76
1745038800,85165.81,84993.07,85017.66,150.18,12779736.45,85073.66
1745035200,85236.99,84868.94,84870.15,360.27,30652292.56,85017.66
1745031600,84949.1,84759.61,84763.82,362.92,30791275.52,84870.15
1745028000,84779.06,84491.01,84528.22,317.75,26905566.62,84763.82
1745024400,84574.91,84412.23,84423.28,147.24,12445014.05,84528.22
1745020800,84465.4,84355.7,84459.96,155.48,13125128.35,84423.28
1745017200,84508.26,84339.62,84507.94,207.05,17479279.04,84459.96
1745013600,84623.83,84412.43,84604.34,138.76,11725970.38,84507.94
1745010000,84665.32,84468.63,84494.86,207.71,17562938.98,84604.34
1745006400,84604.28,84450.02,84534.15,241.86,20438519.55,84494.86
1745002800,84613.36,84495.3,84594.45,164.65,13921465.1,84534.15
1744999200,84624.87,84495.36,84549.49,197.45,16699305.33,84594.45
1744995600,84581.38,84375.65,84467.29,324.76,27443183.12,84549.49
1744992000,84530.13,84287.73,84356.78,254.37,21483305.03,84467.29
1744988400,84587.05,84326.68,84563.29,343.72,29017884.54,84356.78
1744984800,84607.91,84374.53,84557.18,392.83,33188748.3,84563.29
